year,state,state_po,county,office,candidate,party,candidatevotes,mode
2000,NORTH CAROLINA,NC,COLUMBUS,US PRESIDENT,AL GORE,DEMOCRAT,9986,TOTAL
2000,NORTH CAROLINA,NC,COLUMBUS,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8342,TOTAL
2000,NORTH CAROLINA,NC,CRAVEN,US PRESIDENT,AL GORE,DEMOCRAT,12213,TOTAL
2000,NORTH CAROLINA,NC,CRAVEN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,19494,TOTAL
2000,NORTH CAROLINA,NC,CUMBERLAND,US PRESIDENT,AL GORE,DEMOCRAT,38626,TOTAL
2000,NORTH CAROLINA,NC,CUMBERLAND,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,38129,TOTAL
2000,NORTH CAROLINA,NC,CURRITUCK,US PRESIDENT,AL GORE,DEMOCRAT,2595,TOTAL
2000,NORTH CAROLINA,NC,CURRITUCK,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4095,TOTAL
2000,NORTH CAROLINA,NC,DARE,US PRESIDENT,AL GORE,DEMOCRAT,5589,TOTAL
2000,NORTH CAROLINA,NC,DARE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7301,TOTAL
2000,NORTH CAROLINA,NC,DAVIDSON,US PRESIDENT,AL GORE,DEMOCRAT,16199,TOTAL
2000,NORTH CAROLINA,NC,DAVIDSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,35387,TOTAL
2000,NORTH CAROLINA,NC,DAVIE,US PRESIDENT,AL GORE,DEMOCRAT,3651,TOTAL
2000,NORTH CAROLINA,NC,DAVIE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10184,TOTAL
2000,NORTH CAROLINA,NC,DUPLIN,US PRESIDENT,AL GORE,DEMOCRAT,6475,TOTAL
2000,NORTH CAROLINA,NC,DUPLIN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7840,TOTAL
2000,NORTH CAROLINA,NC,DURHAM,US PRESIDENT,AL GORE,DEMOCRAT,53907,TOTAL
2000,NORTH CAROLINA,NC,DURHAM,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,30150,TOTAL
2000,NORTH CAROLINA,NC,EDGECOMBE,US PRESIDENT,AL GORE,DEMOCRAT,11315,TOTAL
2000,NORTH CAROLINA,NC,EDGECOMBE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6836,TOTAL
2000,NORTH CAROLINA,NC,FORSYTH,US PRESIDENT,AL GORE,DEMOCRAT,52457,TOTAL
2000,NORTH CAROLINA,NC,FORSYTH,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,67700,TOTAL
2000,NORTH CAROLINA,NC,FRANKLIN,US PRESIDENT,AL GORE,DEMOCRAT,7454,TOTAL
2000,NORTH CAROLINA,NC,FRANKLIN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8501,TOTAL
2000,NORTH CAROLINA,NC,GASTON,US PRESIDENT,AL GORE,DEMOCRAT,19281,TOTAL
2000,NORTH CAROLINA,NC,GASTON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,39453,TOTAL
2000,NORTH CAROLINA,NC,GATES,US PRESIDENT,AL GORE,DEMOCRAT,1944,TOTAL
2000,NORTH CAROLINA,NC,GATES,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1480,TOTAL
2000,NORTH CAROLINA,NC,GRAHAM,US PRESIDENT,AL GORE,DEMOCRAT,1006,TOTAL
2000,NORTH CAROLINA,NC,GRAHAM,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2304,TOTAL
2000,NORTH CAROLINA,NC,GRANVILLE,US PRESIDENT,AL GORE,DEMOCRAT,7733,TOTAL
2000,NORTH CAROLINA,NC,GRANVILLE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7364,TOTAL
2000,NORTH CAROLINA,NC,GREENE,US PRESIDENT,AL GORE,DEMOCRAT,2478,TOTAL
2000,NORTH CAROLINA,NC,GREENE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3353,TOTAL
2000,NORTH CAROLINA,NC,GUILFORD,US PRESIDENT,AL GORE,DEMOCRAT,80787,TOTAL
2000,NORTH CAROLINA,NC,GUILFORD,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,84394,TOTAL
2000,NORTH CAROLINA,NC,HALIFAX,US PRESIDENT,AL GORE,DEMOCRAT,10222,TOTAL
2000,NORTH CAROLINA,NC,HALIFAX,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6698,TOTAL
2000,NORTH CAROLINA,NC,HARNETT,US PRESIDENT,AL GORE,DEMOCRAT,9155,TOTAL
2000,NORTH CAROLINA,NC,HARNETT,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,14762,TOTAL
2000,NORTH CAROLINA,NC,HAYWOOD,US PRESIDENT,AL GORE,DEMOCRAT,9793,TOTAL
2000,NORTH CAROLINA,NC,HAYWOOD,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12118,TOTAL
2000,NORTH CAROLINA,NC,HENDERSON,US PRESIDENT,AL GORE,DEMOCRAT,12562,TOTAL
2000,NORTH CAROLINA,NC,HENDERSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,25688,TOTAL
2000,NORTH CAROLINA,NC,HERTFORD,US PRESIDENT,AL GORE,DEMOCRAT,5484,TOTAL
2000,NORTH CAROLINA,NC,HERTFORD,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2382,TOTAL
2000,NORTH CAROLINA,NC,HOKE,US PRESIDENT,AL GORE,DEMOCRAT,5017,TOTAL
2000,NORTH CAROLINA,NC,HOKE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3439,TOTAL
2000,NORTH CAROLINA,NC,HYDE,US PRESIDENT,AL GORE,DEMOCRAT,1088,TOTAL
2000,NORTH CAROLINA,NC,HYDE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1132,TOTAL
2000,NORTH CAROLINA,NC,IREDELL,US PRESIDENT,AL GORE,DEMOCRAT,15434,TOTAL
2000,NORTH CAROLINA,NC,IREDELL,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,29853,TOTAL
2000,NORTH CAROLINA,NC,JACKSON,US PRESIDENT,AL GORE,DEMOCRAT,5722,TOTAL
2000,NORTH CAROLINA,NC,JACKSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6237,TOTAL
2000,NORTH CAROLINA,NC,JOHNSTON,US PRESIDENT,AL GORE,DEMOCRAT,13704,TOTAL
2000,NORTH CAROLINA,NC,JOHNSTON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,27212,TOTAL
2000,NORTH CAROLINA,NC,JONES,US PRESIDENT,AL GORE,DEMOCRAT,1822,TOTAL
2000,NORTH CAROLINA,NC,JONES,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2114,TOTAL
2000,NORTH CAROLINA,NC,LEE,US PRESIDENT,AL GORE,DEMOCRAT,6785,TOTAL
2000,NORTH CAROLINA,NC,LEE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9406,TOTAL
2000,NORTH CAROLINA,NC,LENOIR,US PRESIDENT,AL GORE,DEMOCRAT,9527,TOTAL
2000,NORTH CAROLINA,NC,LENOIR,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11512,TOTAL
2000,NORTH CAROLINA,NC,LINCOLN,US PRESIDENT,AL GORE,DEMOCRAT,8412,TOTAL
2000,NORTH CAROLINA,NC,LINCOLN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,15951,TOTAL
2000,NORTH CAROLINA,NC,MCDOWELL,US PRESIDENT,AL GORE,DEMOCRAT,4747,TOTAL
2000,NORTH CAROLINA,NC,MCDOWELL,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9109,TOTAL
2000,NORTH CAROLINA,NC,MACON,US PRESIDENT,AL GORE,DEMOCRAT,4683,TOTAL
2000,NORTH CAROLINA,NC,MACON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8406,TOTAL
2000,NORTH CAROLINA,NC,MADISON,US PRESIDENT,AL GORE,DEMOCRAT,3505,TOTAL
2000,NORTH CAROLINA,NC,MADISON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4676,TOTAL
2000,NORTH CAROLINA,NC,MARTIN,US PRESIDENT,AL GORE,DEMOCRAT,4929,TOTAL
2000,NORTH CAROLINA,NC,MARTIN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4420,TOTAL
2000,NORTH CAROLINA,NC,MECKLENBURG,US PRESIDENT,AL GORE,DEMOCRAT,126911,TOTAL
2000,NORTH CAROLINA,NC,MECKLENBURG,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,134068,TOTAL
2000,NORTH CAROLINA,NC,MITCHELL,US PRESIDENT,AL GORE,DEMOCRAT,1535,TOTAL
2000,NORTH CAROLINA,NC,MITCHELL,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4984,TOTAL
2000,NORTH CAROLINA,NC,MONTGOMERY,US PRESIDENT,AL GORE,DEMOCRAT,3979,TOTAL
2000,NORTH CAROLINA,NC,MONTGOMERY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4946,TOTAL
2000,NORTH CAROLINA,NC,MOORE,US PRESIDENT,AL GORE,DEMOCRAT,11232,TOTAL
2000,NORTH CAROLINA,NC,MOORE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,19882,TOTAL
2000,NORTH CAROLINA,NC,NASH,US PRESIDENT,AL GORE,DEMOCRAT,12376,TOTAL
2000,NORTH CAROLINA,NC,NASH,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17995,TOTAL
2000,NORTH CAROLINA,NC,NEW HANOVER,US PRESIDENT,AL GORE,DEMOCRAT,29292,TOTAL
2000,NORTH CAROLINA,NC,NEW HANOVER,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,36503,TOTAL
2000,NORTH CAROLINA,NC,NORTHAMPTON,US PRESIDENT,AL GORE,DEMOCRAT,5513,TOTAL
2000,NORTH CAROLINA,NC,NORTHAMPTON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2667,TOTAL
2000,NORTH CAROLINA,NC,ONSLOW,US PRESIDENT,AL GORE,DEMOCRAT,10269,TOTAL
2000,NORTH CAROLINA,NC,ONSLOW,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,19657,TOTAL
2000,NORTH CAROLINA,NC,ORANGE,US PRESIDENT,AL GORE,DEMOCRAT,30921,TOTAL
2000,NORTH CAROLINA,NC,ORANGE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17930,TOTAL
2000,NORTH CAROLINA,NC,PAMLICO,US PRESIDENT,AL GORE,DEMOCRAT,2188,TOTAL
2000,NORTH CAROLINA,NC,PAMLICO,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2999,TOTAL
2000,NORTH CAROLINA,NC,PASQUOTANK,US PRESIDENT,AL GORE,DEMOCRAT,5874,TOTAL
2000,NORTH CAROLINA,NC,PASQUOTANK,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4943,TOTAL
2000,NORTH CAROLINA,NC,PENDER,US PRESIDENT,AL GORE,DEMOCRAT,6415,TOTAL
2000,NORTH CAROLINA,NC,PENDER,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7661,TOTAL
2000,NORTH CAROLINA,NC,PERQUIMANS,US PRESIDENT,AL GORE,DEMOCRAT,2033,TOTAL
2000,NORTH CAROLINA,NC,PERQUIMANS,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2230,TOTAL
2000,NORTH CAROLINA,NC,PERSON,US PRESIDENT,AL GORE,DEMOCRAT,5042,TOTAL
2000,NORTH CAROLINA,NC,PERSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6722,TOTAL
2000,NORTH CAROLINA,NC,PITT,US PRESIDENT,AL GORE,DEMOCRAT,19685,TOTAL
2000,NORTH CAROLINA,NC,PITT,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,23192,TOTAL
2000,NORTH CAROLINA,NC,POLK,US PRESIDENT,AL GORE,DEMOCRAT,3114,TOTAL
2000,NORTH CAROLINA,NC,POLK,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5074,TOTAL
2000,NORTH CAROLINA,NC,RANDOLPH,US PRESIDENT,AL GORE,DEMOCRAT,11366,TOTAL
2000,NORTH CAROLINA,NC,RANDOLPH,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,30959,TOTAL
2000,NORTH CAROLINA,NC,RICHMOND,US PRESIDENT,AL GORE,DEMOCRAT,7935,TOTAL
2000,NORTH CAROLINA,NC,RICHMOND,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6263,TOTAL
2000,NORTH CAROLINA,NC,ROBESON,US PRESIDENT,AL GORE,DEMOCRAT,17834,TOTAL
2000,NORTH CAROLINA,NC,ROBESON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11721,TOTAL
2000,NORTH CAROLINA,NC,ROCKINGHAM,US PRESIDENT,AL GORE,DEMOCRAT,13260,TOTAL
2000,NORTH CAROLINA,NC,ROCKINGHAM,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,18979,TOTAL
2000,NORTH CAROLINA,NC,ROWAN,US PRESIDENT,AL GORE,DEMOCRAT,14891,TOTAL
2000,NORTH CAROLINA,NC,ROWAN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,28922,TOTAL
2000,NORTH CAROLINA,NC,RUTHERFORD,US PRESIDENT,AL GORE,DEMOCRAT,7697,TOTAL
2000,NORTH CAROLINA,NC,RUTHERFORD,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13755,TOTAL
2000,NORTH CAROLINA,NC,SAMPSON,US PRESIDENT,AL GORE,DEMOCRAT,8768,TOTAL
2000,NORTH CAROLINA,NC,SAMPSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10410,TOTAL
2000,NORTH CAROLINA,NC,SCOTLAND,US PRESIDENT,AL GORE,DEMOCRAT,5627,TOTAL
2000,NORTH CAROLINA,NC,SCOTLAND,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3740,TOTAL
2000,NORTH CAROLINA,NC,STANLY,US PRESIDENT,AL GORE,DEMOCRAT,7066,TOTAL
2000,NORTH CAROLINA,NC,STANLY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,15548,TOTAL
2000,NORTH CAROLINA,NC,STOKES,US PRESIDENT,AL GORE,DEMOCRAT,5030,TOTAL
2000,NORTH CAROLINA,NC,STOKES,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12028,TOTAL
2000,NORTH CAROLINA,NC,SURRY,US PRESIDENT,AL GORE,DEMOCRAT,7757,TOTAL
2000,NORTH CAROLINA,NC,SURRY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,15401,TOTAL
2000,NORTH CAROLINA,NC,SWAIN,US PRESIDENT,AL GORE,DEMOCRAT,2097,TOTAL
2000,NORTH CAROLINA,NC,SWAIN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2224,TOTAL
2000,NORTH CAROLINA,NC,TRANSYLVANIA,US PRESIDENT,AL GORE,DEMOCRAT,5044,TOTAL
2000,NORTH CAROLINA,NC,TRANSYLVANIA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9011,TOTAL
2000,NORTH CAROLINA,NC,TYRRELL,US PRESIDENT,AL GORE,DEMOCRAT,849,TOTAL
2000,NORTH CAROLINA,NC,TYRRELL,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,706,TOTAL
2000,NORTH CAROLINA,NC,UNION,US PRESIDENT,AL GORE,DEMOCRAT,14890,TOTAL
2000,NORTH CAROLINA,NC,UNION,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,31876,TOTAL
2000,NORTH CAROLINA,NC,VANCE,US PRESIDENT,AL GORE,DEMOCRAT,7092,TOTAL
2000,NORTH CAROLINA,NC,VANCE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5564,TOTAL
2000,NORTH CAROLINA,NC,WAKE,US PRESIDENT,AL GORE,DEMOCRAT,123466,TOTAL
2000,NORTH CAROLINA,NC,WAKE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,142494,TOTAL
2000,NORTH CAROLINA,NC,WARREN,US PRESIDENT,AL GORE,DEMOCRAT,4576,TOTAL
2000,NORTH CAROLINA,NC,WARREN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2202,TOTAL
2000,NORTH CAROLINA,NC,WASHINGTON,US PRESIDENT,AL GORE,DEMOCRAT,2704,TOTAL
2000,NORTH CAROLINA,NC,WASHINGTON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2169,TOTAL
2000,NORTH CAROLINA,NC,WATAUGA,US PRESIDENT,AL GORE,DEMOCRAT,7959,TOTAL
2000,NORTH CAROLINA,NC,WATAUGA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10438,TOTAL
2000,NORTH CAROLINA,NC,WAYNE,US PRESIDENT,AL GORE,DEMOCRAT,13005,TOTAL
2000,NORTH CAROLINA,NC,WAYNE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,20758,TOTAL
2000,NORTH CAROLINA,NC,WILKES,US PRESIDENT,AL GORE,DEMOCRAT,7226,TOTAL
2000,NORTH CAROLINA,NC,WILKES,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,16826,TOTAL
2000,NORTH CAROLINA,NC,WILSON,US PRESIDENT,AL GORE,DEMOCRAT,11266,TOTAL
2000,NORTH CAROLINA,NC,WILSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13466,TOTAL
2000,NORTH CAROLINA,NC,YADKIN,US PRESIDENT,AL GORE,DEMOCRAT,3127,TOTAL
2000,NORTH CAROLINA,NC,YADKIN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10435,TOTAL
2000,NORTH CAROLINA,NC,YANCEY,US PRESIDENT,AL GORE,DEMOCRAT,3714,TOTAL
2000,NORTH CAROLINA,NC,YANCEY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4970,TOTAL
2004,NORTH CAROLINA,NC,ALAMANCE,US PRESIDENT,JOHN KERRY,DEMOCRAT,20686,TOTAL
2004,NORTH CAROLINA,NC,ALAMANCE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,33302,TOTAL
2004,NORTH CAROLINA,NC,ALEXANDER,US PRESIDENT,JOHN KERRY,DEMOCRAT,4618,TOTAL
2004,NORTH CAROLINA,NC,ALEXANDER,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10928,TOTAL
2004,NORTH CAROLINA,NC,ALLEGHANY,US PRESIDENT,JOHN KERRY,DEMOCRAT,1922,TOTAL
2004,NORTH CAROLINA,NC,ALLEGHANY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2883,TOTAL
2004,NORTH CAROLINA,NC,ANSON,US PRESIDENT,JOHN KERRY,DEMOCRAT,5413,TOTAL
2004,NORTH CAROLINA,NC,ANSON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3796,TOTAL
2004,NORTH CAROLINA,NC,ASHE,US PRESIDENT,JOHN KERRY,DEMOCRAT,4477,TOTAL
